Dấu thời gian,Mã số Sinh Viên (VD: 11247123),Giới Tính,Chuyên Ngành,Lớp (VD: AI66B),"XÁC NHẬN THAM GIA NGHIÊN CỨU
Tôi xác nhận đã đọc và hiểu đầy đủ thông tin về nghiên cứu này.
Tôi hiểu rằng việc tham gia là hoàn toàn tự nguyện và tôi có thể dừng khảo sát bất kỳ lúc nào.
Tôi đồng ý cho phép nhóm nghiên cứu sử dụng dữ liệu (đã được mã hóa và bảo mật) cho mục đích nghiên cứu khoa học.","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi cảm thấy kiệt sức về mặt cảm xúc.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Chỉ cần nghĩ đến việc phải mở sách vở ra là tôi đã thấy nản lòng.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi có cảm giác mình đang bị quá tải bởi khối lượng kiến thức.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi thấy mình khó duy trì động lực học tập.]","Trong giai đoạn ôn thi cuối kỳ, những mô tả dưới đây phản ánh trải nghiệm học tập của bạn ở mức độ nào? 
 [Tôi vẫn thấy hào hứng và có thể giải quyết các bài tập khó trong giai đoạn đó.]",Trong cùng giai đoạn: [Tôi cảm thấy căng thẳng liên tục.],Trong cùng giai đoạn: [Tôi dễ bị kích động hoặc cáu gắt.],Trong cùng giai đoạn: [Đầu óc tôi không thể thả lỏng ngay cả khi nghỉ ngơi.],Trong cùng giai đoạn: [Tôi cảm thấy mình luôn trong trạng thái “phải chạy đua với thời gian”.],Trong cùng giai đoạn: [Tôi cảm thấy khá bình tĩnh khi đối mặt với kỳ thi.],Trung bình bạn ngủ bao nhiêu giờ mỗi đêm?,Bạn mất bao lâu để chìm vào giấc ngủ?,"Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có thường xuyên thức giấc giữa đêm không? ]","Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có cảm thấy ngủ không đủ giấc? ]","Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có buồn ngủ ban ngày khi học? ]","Trong giai đoạn ôn thi vừa qua, tình trạng giấc ngủ của bạn:   [Bạn có dùng thuốc/đồ uống kích thích để thức học? ]",Trong giai đoạn đó: [Tôi sử dụng điện thoại/laptop trong vòng 30 phút trước khi ngủ.],Trong giai đoạn đó: [Tôi đi ngủ vào giờ không cố định mỗi ngày.],Trong giai đoạn đó: [Tôi học bài trên giường ngủ.],Trong giai đoạn đó: [Tôi phải uống cà phê/trà vào buổi tối để học.],Trong giai đoạn đó: [Tôi suy nghĩ nhiều về bài vở khi đã lên giường.],Trong quá trình ôn tập: [Tôi cảm thấy số lượng bài tập và dự án nhóm trong học kỳ này là quá lớn đối với khả năng của mình.],Trong quá trình ôn tập: [Tôi thường xuyên phải thức khuya hoặc sử dụng thời gian nghỉ ngơi để kịp hoàn thành deadline.],"Trong quá trình ôn tập: [Các bài kiểm tra và thời hạn nộp bài thường dồn dập vào cùng một thời điểm, khiến tôi không kịp xoay xở.]",Trung bình mỗi ngày bạn học bao nhiêu giờ?,Bạn có nộp bài trễ trong giai đoạn đó không? ,Bạn thường học vào khung giờ nào?,Bạn có giảm tần suất vào LMS so với đầu học kì hay không?,Bạn sử dụng hệ thống LMS để phục vụ việc học với tần suất như thế nào?  ,Xếp loại học tập của bạn trong học kỳ gần nhất (học kỳ thi trong giai đoạn khảo sát) là gì?,"Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Tôi lo lắng về vấn đề tài chính trong giai đoạn đó.]","Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Tôi phải làm thêm để trang trải chi phí học tập/sinh hoạt.]","Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Áp lực tài chính ảnh hưởng đến việc học của tôi.]","Trong quá trình học tập, các mô tả sau phản ánh mức độ áp lực tài chính của bạn ở mức độ nào? [Tôi cảm thấy thu nhập/tiền hỗ trợ không đủ đáp ứng nhu cầu.]","Để đảm bảo chất lượng khảo sát, vui lòng chọn mức ‘Thường xuyên’ cho câu hỏi này.",Bạn cảm thấy mức độ stress hiện tại so với giai đoạn thi là:
18/03/2026 14:42:47,11256441,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,1,4,0,0,4,0,0,0,0,4,5 - 6h,< 15p,0,4,0,1,3,4,0,4,3,1,4,1,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Xuất sắc,2,4,3,4,Thường xuyên,Thấp hơn nhiều
18/03/2026 14:43:50,11255394,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,3,2,3,3,1,5 - 6h,> 60p,4,4,4,1,1,3,0,2,2,2,2,3,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Hiếm khi sử dụng,Giỏi,4,2,2,3,Thường xuyên,Thấp hơn
18/03/2026 14:44:25,11251809,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,0,1,1,2,3,0,0,0,1,3,7 - 8h,30 - 60p,0,1,1,0,2,2,0,0,0,0,0,0,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Tôi không bao giờ sử dụng,Khá,1,0,0,0,Thường xuyên,Thấp hơn
18/03/2026 14:44:41,11252770,Không muốn tiết lộ,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,1,0,0,0,1,0,0,1,1,4,7 - 8h,15 - 30p,0,0,2,0,4,0,0,0,0,1,0,0,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Hiếm khi sử dụng,Giỏi,0,0,0,0,Thường xuyên,Tương đương
18/03/2026 14:44:57,11251193,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,3,2,1,3,3,6 - 7h,15 - 30p,3,3,2,3,2,2,0,1,2,1,1,1,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Thỉnh thoảng sử dụng,Khá,3,1,3,3,Thường xuyên,Thấp hơn
18/03/2026 14:48:08,11251272,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,2,3,3,3,1,2,1,1,1,0,7 - 8h,> 60p,4,2,2,0,4,4,0,0,0,2,2,3,Dưới 1 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Có,Hiếm khi sử dụng,Xuất sắc,2,1,1,2,Thường xuyên,Thấp hơn
18/03/2026 14:51:11,11251298,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,2,1,1,2,3,2,0,2,4,1,5 - 6h,< 15p,1,4,1,0,4,3,0,0,2,1,1,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Thỉnh thoảng sử dụng,Giỏi,4,4,1,3,Thường xuyên,Thấp hơn
18/03/2026 14:51:33,11254033,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,1,1,1,2,1,0,0,1,1,2,6 - 7h,15 - 30p,0,1,3,0,4,0,0,0,0,1,1,0,1 - 2 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,0,0,0,0,Thường xuyên,Thấp hơn nhiều
18/03/2026 14:56:40,11258690,Nam,Trí Tuệ Nhân Tạo,AI67A,Tôi đồng ý tham gia khảo sát,1,1,1,1,1,1,1,1,1,1,6 - 7h,15 - 30p,1,1,1,1,3,0,0,0,0,2,2,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Hiếm khi sử dụng,Khá,0,0,0,0,Thường xuyên,Tương đương
18/03/2026 16:16:22,11254986,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,1,1,1,1,1,0,0,0,0,0,< 5h,15 - 30p,1,1,1,1,1,1,1,1,1,1,1,1,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Có,Thỉnh thoảng sử dụng,Khá,0,0,0,0,Thường xuyên,Thấp hơn
18/03/2026 17:33:50,11247366,Nam,Trí Tuệ Nhân Tạo, AI66B,Tôi đồng ý tham gia khảo sát,2,3,4,4,1,1,1,1,2,3,6 - 7h,15 - 30p,2,1,0,0,4,4,0,0,0,4,2,3,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Giỏi,3,0,2,2,Thường xuyên,Thấp hơn
18/03/2026 17:35:18,11247362,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,3,3,3,4,0,6 - 7h,> 60p,4,4,4,2,1,3,3,3,3,4,4,4,1 - 2 tiếng,Thường xuyên trễ hạn,Sau 22h,Không,Thỉnh thoảng sử dụng,Khá,4,4,4,4,Thường xuyên,Cao hơn
18/03/2026 17:36:56,11247257,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,2,2,2,2,2,6 - 7h,< 15p,0,1,0,0,2,0,1,0,2,2,2,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,2,2,2,2,Thường xuyên,Tương đương
18/03/2026 17:36:56,11247357,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,4,4,4,4,4,4,5 - 6h,> 60p,4,4,1,2,1,0,0,0,3,2,2,2,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Tôi không bao giờ sử dụng,Khá,0,0,0,0,Thường xuyên,Tương đương
18/03/2026 17:37:43,11247261,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,1,3,2,3,3,1,1,0,1,2,6 - 7h,< 15p,0,0,3,1,4,1,1,0,2,2,0,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,4,4,4,2,Thường xuyên,Thấp hơn
18/03/2026 17:39:48,11247294,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,2,3,2,4,4,1,5 - 6h,15 - 30p,0,2,2,4,3,3,3,2,2,2,3,3,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Hiếm khi sử dụng,Khá,3,1,3,2,Thường xuyên,Thấp hơn
18/03/2026 17:41:50,11254084,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,2,2,1,3,1,1,1,1,2,1,5 - 6h,15 - 30p,1,3,3,1,2,2,2,0,1,1,2,1,2 - 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Có,Thường xuyên sử dụng,Giỏi,3,2,2,3,Thường xuyên,Thấp hơn
18/03/2026 17:45:51,11247282,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,2,2,2,2,2,7 - 8h,< 15p,2,2,2,2,2,2,2,2,2,2,2,2,2 - 4 tiếng,Thường xuyên trễ hạn,Trước 22h,Không,Thường xuyên sử dụng,Giỏi,3,0,3,0,Thường xuyên,Tương đương
18/03/2026 17:46:41,11251771,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,4,2,4,4,3,4,4,2,4,3,7 - 8h,30 - 60p,3,1,4,3,4,2,3,0,3,3,2,2,Dưới 1 tiếng,Tôi luôn nộp bài trước hạn,Không học,Có,Thỉnh thoảng sử dụng,Khá,1,2,3,2,Thường xuyên,Tương đương
18/03/2026 17:48:06,11247345,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,1,4,4,4,4,2,1,1,3,3,6 - 7h,15 - 30p,3,2,3,1,2,3,3,0,2,2,1,2,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Khá,4,4,4,4,Thường xuyên,Tương đương
18/03/2026 18:29:03,11253254,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,2,1,2,2,1,1,1,0,1,3,6 - 7h,< 15p,3,2,1,2,2,2,0,2,0,2,2,2,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Khá,3,3,3,3,Thường xuyên,Thấp hơn nhiều
18/03/2026 19:39:34,11258594,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,4,1,4,2,4,4,2,2,4,0,5 - 6h,< 15p,0,4,3,0,3,4,1,4,4,2,4,4,Trên 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Có,Hiếm khi sử dụng,Xuất sắc,4,4,4,4,Thỉnh thoảng,Tương đương
18/03/2026 20:29:31,11252168,Nam,Trí Tuệ Nhân Tạo,AI67B,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,2,2,2,2,2,5 - 6h,15 - 30p,2,2,2,2,2,2,2,2,2,2,2,2,1 - 2 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Thường xuyên sử dụng,Khá,2,2,2,2,Thường xuyên,Tương đương
18/03/2026 20:37:47,11247224,Nam,Khoa Học Dữ Liệu,DS66B,Tôi đồng ý tham gia khảo sát,2,2,2,4,1,2,1,0,0,2,5 - 6h,15 - 30p,0,1,2,1,2,4,2,0,2,2,2,2,2 - 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Thỉnh thoảng sử dụng,Khá,3,1,2,1,Thường xuyên,Thấp hơn
19/03/2026 10:34:27,11247310,Nữ,Khoa Học Dữ Liệu,DS66A,Tôi đồng ý tham gia khảo sát,1,1,1,0,2,1,0,0,1,2,5 - 6h,15 - 30p,1,1,1,0,2,3,0,0,0,2,1,1,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Giỏi,0,0,0,0,Thường xuyên,Thấp hơn
19/03/2026 10:34:32,11247287,Nữ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,3,4,4,3,0,3,2,4,4,0,6 - 7h,15 - 30p,0,4,4,2,4,4,0,2,4,4,4,3,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Khá,3,3,3,3,Thường xuyên,Cao hơn
19/03/2026 10:42:02,11255674,Nữ,Khoa Học Dữ Liệu,DS67B,Tôi đồng ý tham gia khảo sát,2,2,2,3,3,1,2,0,1,3,5 - 6h,15 - 30p,2,3,3,0,3,3,3,0,0,2,1,2,2 - 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Thường xuyên sử dụng,Giỏi,0,0,0,0,Thường xuyên,Thấp hơn
19/03/2026 10:48:45,11255257,Nam,Khoa Học Dữ Liệu,DS67A,Tôi đồng ý tham gia khảo sát,4,4,4,4,4,0,0,0,0,0,> 8h,> 60p,4,4,4,0,4,4,0,0,0,0,0,0,1 - 2 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,0,4,4,0,Thường xuyên,Tương đương
19/03/2026 11:09:04,11247172,Nam,Khoa Học Dữ Liệu,DS66A,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,2,2,3,0,5 - 6h,< 15p,2,4,0,4,0,4,0,4,0,3,4,3,Trên 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Không,Thường xuyên sử dụng,Khá,3,2,2,2,Thường xuyên,Cao hơn
19/03/2026 12:44:17,11347244,Nam,Trí Tuệ Nhân Tạo,ai66b,Tôi đồng ý tham gia khảo sát,2,0,0,3,4,0,0,2,1,4,7 - 8h,> 60p,0,0,0,0,0,2,0,0,1,2,1,2,Trên 4 tiếng,Thường xuyên trễ hạn,Trước 22h,Có,Tôi không bao giờ sử dụng,Yếu,1,0,0,0,Thường xuyên,Cao hơn
19/03/2026 14:40:46,11253988,Nam,Khoa Học Dữ Liệu,DS67B,Tôi đồng ý tham gia khảo sát,0,0,0,1,1,1,1,2,2,1,> 8h,15 - 30p,4,1,4,0,3,0,2,0,3,0,0,1,Dưới 1 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,2,0,0,0,Thường xuyên,Tương đương
19/03/2026 14:51:35,11256916,Nữ,Khoa Học Dữ Liệu,DS67C,Tôi đồng ý tham gia khảo sát,2,4,3,3,3,2,2,2,2,2,7 - 8h,15 - 30p,4,3,2,1,4,4,4,1,2,3,2,2,Trên 4 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Có,Thỉnh thoảng sử dụng,Giỏi,4,3,3,3,Thường xuyên,Tương đương
19/03/2026 14:51:58,11251936,Nam,Khoa Học Dữ Liệu,DS67C,Tôi đồng ý tham gia khảo sát,4,4,4,4,4,4,4,4,4,4,< 5h,> 60p,4,4,4,4,0,0,0,0,0,4,4,4,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Xuất sắc,4,4,4,4,Luôn luôn,Cao hơn
19/03/2026 14:53:07,11254622,Nữ,Khoa Học Dữ Liệu,DS67C,Tôi đồng ý tham gia khảo sát,1,0,3,2,2,1,0,0,1,2,7 - 8h,30 - 60p,0,0,2,1,3,1,0,0,2,0,0,0,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,1,1,0,0,Thường xuyên,Thấp hơn nhiều
19/03/2026 14:53:20,11258360,Nữ,Khoa Học Dữ Liệu,DS67C,Tôi đồng ý tham gia khảo sát,3,4,4,4,1,3,2,3,4,1,6 - 7h,15 - 30p,1,2,2,1,4,1,0,0,1,4,1,3,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Xuất sắc,3,0,1,1,Thường xuyên,Cao hơn
19/03/2026 14:53:49,11257257,Nữ,Khoa Học Dữ Liệu,DS67C,Tôi đồng ý tham gia khảo sát,3,0,3,1,2,3,2,3,3,0,< 5h,> 60p,0,1,1,1,3,3,0,0,3,4,4,3,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,3,3,3,3,Thường xuyên,Thấp hơn
19/03/2026 14:54:07,11258956,Nam,Khoa Học Dữ Liệu,DS67C,Tôi đồng ý tham gia khảo sát,2,2,2,2,2,2,2,2,2,2,6 - 7h,< 15p,2,2,2,0,2,2,0,0,0,2,2,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Thỉnh thoảng sử dụng,Khá,2,2,2,2,Thường xuyên,Thấp hơn
19/03/2026 14:58:45,11247347,Nữ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,3,0,4,3,3,4,0,5 - 6h,30 - 60p,4,3,2,4,4,4,0,4,3,4,4,4,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Xuất sắc,4,0,3,4,Thường xuyên,Cao hơn
19/03/2026 16:58:37,11258665,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,0,0,0,0,3,1,0,0,1,3,7 - 8h,15 - 30p,0,0,0,0,4,1,0,0,0,0,0,1,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thỉnh thoảng sử dụng,Xuất sắc,0,0,0,0,Thường xuyên,Thấp hơn
19/03/2026 17:11:54,11252322,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,1,1,2,2,2,1,2,0,2,0,7 - 8h,15 - 30p,0,1,2,0,4,3,4,0,2,1,1,1,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thỉnh thoảng sử dụng,Khá,2,2,2,1,Thường xuyên,Thấp hơn
19/03/2026 17:13:59,11247316,Nữ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,3,4,4,1,3,3,3,4,0,< 5h,30 - 60p,2,4,1,4,4,3,0,2,3,4,4,4,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thỉnh thoảng sử dụng,Khá,0,0,0,0,Thường xuyên,Cao hơn
19/03/2026 17:15:48,11247338,Không muốn tiết lộ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,4,4,4,0,< 5h,> 60p,4,4,4,4,4,4,4,4,4,4,4,4,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Khá,4,4,4,4,Thường xuyên,Cao hơn
19/03/2026 17:17:51,11247374,Không muốn tiết lộ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,2,0,4,0,5 - 6h,> 60p,4,4,4,0,4,4,0,0,2,4,4,4,1 - 2 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Thỉnh thoảng sử dụng,Giỏi,4,4,4,4,Thường xuyên,Tương đương
19/03/2026 17:19:59,11247300,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,4,4,4,0,< 5h,> 60p,4,4,4,0,4,4,0,4,4,4,4,4,Trên 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Giỏi,0,0,0,0,Thường xuyên,Cao hơn
19/03/2026 17:23:26,11247353,Nữ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,4,3,3,0,< 5h,> 60p,4,4,4,4,4,2,4,2,2,4,4,4,2 - 4 tiếng,Thường xuyên trễ hạn,Sau 22h,Không,Thường xuyên sử dụng,Khá,3,3,2,2,Thường xuyên,Tương đương
19/03/2026 17:25:45,11247351,Nam,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,2,1,4,1,3,4,2,3,3,0,6 - 7h,< 15p,1,4,3,1,4,1,0,0,2,4,4,4,1 - 2 tiếng,Thường xuyên trễ hạn,Trước 22h,Không,Thường xuyên sử dụng,Khá,4,4,4,4,Thường xuyên,Tương đương
19/03/2026 17:27:33,11256438,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,2,2,2,3,2,1,3,1,3,2,6 - 7h,15 - 30p,1,2,1,0,4,4,0,0,1,1,1,1,Dưới 1 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Có,Thỉnh thoảng sử dụng,Giỏi,2,1,2,1,Thường xuyên,Thấp hơn nhiều
19/03/2026 17:29:02,11247275,Nữ,Trí Tuệ Nhân Tạo,AI66B,Tôi đồng ý tham gia khảo sát,4,4,4,4,0,4,4,4,4,0,5 - 6h,> 60p,4,4,4,0,4,1,2,0,4,4,4,4,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thường xuyên sử dụng,Khá,4,4,4,4,Thường xuyên,Tương đương
19/03/2026 17:33:19,11255540,Nam,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,0,1,1,0,0,3,3,0,2,4,< 5h,> 60p,0,1,3,3,4,3,0,4,0,0,2,0,Dưới 1 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Có,Thỉnh thoảng sử dụng,Khá,0,4,0,0,Thường xuyên,Thấp hơn nhiều
19/03/2026 17:34:52,11247290,Nam,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,4,2,4,4,2,4,4,4,4,0,< 5h,30 - 60p,0,4,4,2,2,3,3,0,1,2,2,4,Dưới 1 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Có,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,4,2,2,2,Thường xuyên,Tương đương
19/03/2026 17:36:49,11247368,Nữ,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,3,2,4,2,2,2,2,3,2,1,5 - 6h,15 - 30p,0,4,4,0,4,4,2,0,2,4,4,3,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Khá,1,1,0,0,Thường xuyên,Cao hơn
19/03/2026 17:38:23,11247352,Nam,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,2,4,2,2,0,1,0,0,3,4,6 - 7h,15 - 30p,0,3,3,0,4,0,0,0,1,1,1,0,Dưới 1 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Sau 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Khá,0,0,0,0,Thường xuyên,Cao hơn
19/03/2026 17:40:46,11247268,Nam,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,4,1,3,3,2,3,0,0,4,2,5 - 6h,15 - 30p,0,3,3,0,2,3,0,0,0,1,4,2,1 - 2 tiếng,Tôi luôn nộp bài trước hạn,Trước 22h,Không,Thỉnh thoảng sử dụng,Giỏi,4,0,3,0,Thường xuyên,Tương đương
19/03/2026 17:42:17,11255185,Nữ,Trí Tuệ Nhân Tạo,AI67C,Tôi đồng ý tham gia khảo sát,3,3,3,3,1,1,3,2,3,1,5 - 6h,< 15p,0,1,2,0,4,1,0,0,4,3,3,3,1 - 2 tiếng,Sắp đến hạn thì tôi mới bắt đầu làm,Trước 22h,Không,Tôi chỉ sử dụng hệ thống LMS để tải bài tập hoặc tài liệu học về máy.,Giỏi,0,2,0,0,Thường xuyên,Thấp hơn
19/03/2026 17:43:44,11247320,Nam,Trí Tuệ Nhân Tạo,AI66A,Tôi đồng ý tham gia khảo sát,3,0,4,0,1,4,4,2,3,0,5 - 6h,< 15p,0,4,4,0,4,4,4,0,2,3,4,4,2 - 4 tiếng,Tôi luôn nộp bài trước hạn,Sau 22h,Không,Thường xuyên sử dụng,Giỏi,3,0,0,0,Thường xuyên,Cao hơn
